symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
SOLTRY,-9.20000000,-0.394,2284.41611197,2327.50000000,2323.30000000,1.67000000,2321.10000000,11.51000000,2322.10000000,0.50000000,2332.50000000,2345.60000000,2225.10000000,56635.03000000,129377975.03400000,1637100125347,1637186525347,5788866,5810595,21730
RUNEGBP,-0.19400000,-2.354,8.02381622,8.05300000,8.04800000,39.30000000,8.06800000,184.00000000,8.08900000,183.50000000,8.24200000,8.34900000,7.68700000,11287.60000000,90569.62800000,1637100124544,1637186524544,86431,86643,213
SOLBRL,-33.10000000,-2.653,1204.33442182,1246.20000000,1214.70000000,1.19000000,1210.20000000,6.91000000,1212.70000000,3.44000000,1247.80000000,1256.90000000,1169.30000000,4815.55000000,5799532.62500000,1637100123688,1637186523688,899088,903665,4578
SCBUSD,0.00119000,6.384,0.01926815,0.01864000,0.01983000,3278.00000000,0.01979000,707.00000000,0.01981000,707.00000000,0.01864000,0.01992000,0.01841000,54799767.00000000,1055890.27063000,1637100123101,1637186523101,1020313,1027641,7329
CHRBUSD,-0.06370000,-5.498,1.15063325,1.15920000,1.09500000,45.00000000,1.09290000,155.00000000,1.09480000,12.00000000,1.15870000,1.21750000,1.07900000,14896168.00000000,17140026.20280000,1637100125440,1637186525440,4016415,4071741,55327
STMXBUSD,0.00353000,11.978,0.03181708,0.02941000,0.03300000,261020.00000000,0.03293000,1300.00000000,0.03300000,118.00000000,0.02947000,0.03402000,0.02899000,34534725.00000000,1098793.96705000,1637100125426,1637186525426,907195,913363,6169
HNTBUSD,-0.30000000,-0.662,44.64124806,45.30000000,45.03000000,7.52000000,45.02000000,0.24000000,45.10000000,4.05000000,45.33000000,48.06000000,42.33000000,79606.83000000,3553748.24530000,1637100125433,1637186525433,1394664,1409210,14547
FTTBUSD,0.28000000,0.549,50.51695460,50.93000000,51.24000000,2.92000000,51.17000000,25.07000000,51.21000000,19.54000000,50.96000000,51.72000000,49.12000000,130307.62000000,6582744.12370000,1637100123458,1637186523458,5125571,5136095,10525
DOCKBUSD,0.00019000,0.230,0.08144978,0.08240000,0.08273000,136.00000000,0.08233000,3402.00000000,0.08273000,789.00000000,0.08254000,0.08335000,0.07915000,1232130.00000000,100356.71836000,1637100114525,1637186514525,1085187,1086427,1241
ADABIDR,-566.00,-2.072,26578.09,27320.00,26754.00,9.30000000,26700.00,643.90000000,26752.00,23.50000000,27320.00,27424.00,25842.00,170417.70000000,4529376241.60,1637100110127,1637186510127,1170664,1173292,2629
